School ID,school_name,division,region,median_pctile,iqr_pctile,frac_top_n,mean_rank,rank_sd
105168,Sta. Maria Elementary School,Bulacan,Region III,0.7094154874917906,0.06686966386052906,0.0,5179.528,951.1948639558564
108207,San Antonio ES,Laguna,Region IV-A,0.7094154874917905,0.09727446414711316,0.0,4916.716,1108.9596977996991
130250,New Antique ES,North Cotabato,Region XII,0.7093259299062631,0.046584870738551665,0.0,4871.17,545.8421210386755
131799,Mabuhay ES,Agusan del Sur,CARAGA,0.7093259299062631,0.17209982685533465,0.0,5142.552,2039.5943997020584
115876,Alegria ES (Guimaras),Guimaras,Region VI,0.7092960773777539,0.04561466356200372,0.0,5073.018,698.6370199724604
126586,Malaybalay City Central School,Malaybalay City,Region X,0.7092363723207356,0.08819929548032723,0.0,4958.252,1173.1726371237953
102177,Pantal ES,Dagupan City,Region I,0.709116962206699,0.07612394769837016,0.0,5131.348,1041.0422598991838
112655,Burabod ES (Lagonoy South),Camarines Sur,Region V,0.7090274046211714,0.10493163770971392,0.0,4930.278,1433.0021370242266
107546,Bulihan Elementary School,Batangas,Region IV-A,0.7089975520926624,0.07184010985730493,0.0,4821.432,760.5795588733633
129875,Tomado ES,North Cotabato,Region XII,0.7089975520926622,0.08652755388381395,0.0,5167.352,1149.616045510848
130502,Lagunsay Elementary School,Sarangani,Region XII,0.708937847035644,0.11008119887754497,0.0,5246.712,1518.0580413989446
103624,Reina Mercedes Central School,Isabela,Region II,0.708937847035644,0.07888530658546777,0.0,4864.412,855.0996422967326
132213,Sapao Central Elementary School,Siargao,CARAGA,0.7087885843930981,0.1660696160964834,0.0,5116.5,1815.1383423860564
129328,Langka Elementary School,Davao Oriental,Region XI,0.7087288793360798,0.057749716400979256,0.0,5019.68,755.2148208291467
119948,Junob Elementary School,Dumaguete City,NIR,0.7086691742790614,0.026434413994865347,0.0,4902.436,304.6763494332962
110116,Alibog ES,Occidental Mindoro,Region IV-B,0.7085796166935339,0.168726491133799,0.0,5299.804,2147.6939264206153
501357,Don Juan B. Celino IS,Roxas City,Region VI,0.7085199116365156,0.033509463251537475,0.0,4885.624,406.0594816329253
117377,Manlucahoc ES,Sipalay City,NIR,0.7085199116365155,0.07736282763150037,0.0,4984.408,884.8332665174835
501609,San Clemente Central Integrated School,Tarlac,Region III,0.7083109439369515,0.1287987342527912,0.0,5119.818,1724.6927183924677
110514,Evangelista ES,Oriental Mindoro,Region IV-B,0.7082810914084423,0.08627380739148605,0.0,5012.794,1035.7726273482997
111492,Sicsican Elementary School,Puerto Princesa City,Region IV-B,0.7082810914084423,0.012747029673413346,0.0,4913.378,166.1586323848388
115344,Malabor ES,Antique,Region VI,0.7081318287658964,0.12441041256194396,0.0,4847.63,1439.6216437314356
126513,Victory Elementary School,Bukidnon,Region X,0.7080422711803689,0.07387008179592813,0.0,5036.81,979.4199925976598
103832,Sinsayon ES,Santiago City,Region II,0.7079825661233506,0.03516627858379606,0.0,5057.988,551.1487021267491
501199,Lumakil Integrated School,South Cotabato,Region XII,0.7079825661233506,0.006045137023105829,0.0,4918.938,106.52503065477147
502646,Asassi Integrated School,Cagayan,Region II,0.7079527135948415,0.036032001910561884,0.0,5009.772,506.714388996405
130214,LOMOPOG ELEMENTARY SCHOOL,North Cotabato,Region XII,0.7079228610663323,0.00603021075885124,0.0,4950.098,184.70662250173922
126634,Lunucan ES,Bukidnon,Region X,0.7078930085378232,0.016150217923458055,0.0,4923.942,190.35794345390474
107346,Ibabao Elementary School,Batangas,Region IV-A,0.707863156009314,0.1340080004776405,0.0,5149.658,1488.03690446037
110355,Dr. Angel S. Rodriguez MES,Oriental Mindoro,Region IV-B,0.7078333034808049,0.14715803928592752,0.0,5050.742,1803.3777461851969
127747,Lagonglong CS,Misamis Oriental,Region X,0.7075646307242224,0.16083049734312505,0.0,4823.002,1855.6233103720162
119713,Lamacan ES,Cebu,Region VII,0.7075646307242223,0.08431846677413568,0.0,4894.266,1002.6063151825846
500255,Pag-asa Integrated School,Sarangani,Region XII,0.7075347781957132,0.04968953370350471,0.0,5102.602,693.8948995316221
108090,Mayor Calixto D. Enriquez Elementary School,Cavite,Region IV-A,0.7075347781957132,0.04659979700280614,0.0,4917.89,557.2118106250082
118986,San Isidro ES,Cebu,Region VII,0.707504925667204,0.07218341393516037,0.0,5029.844,868.2682348583298
111221,Canique Elementary School,Palawan,Region IV-B,0.7074452206101858,0.07285509582661653,0.0,4949.688,887.7248913126183
102209,Gabaldon Elementary School,Laoag City,Region I,0.7074452206101857,0.02577765836766366,0.0,4924.412,321.86589483199367
110548,Santiago Garong MS,Oriental Mindoro,Region IV-B,0.7073556630246582,0.12533584094572814,0.0,5280.67,1560.2931253774082
110663,Tacligan ES,Oriental Mindoro,Region IV-B,0.7072064003821124,0.08852767329392808,0.0,4932.468,1155.6752956501232
500037,Eusebio Lopez Memorial IS,Sagay City,NIR,0.7071765478536032,0.046196787867932465,0.0,4874.414,546.02976714095
113907,Bayanihan ES,Masbate,Region V,0.7070869902680756,0.07155651083646786,0.0,5174.236,1001.1994268396282
132118,Libertad CES,Butuan City,CARAGA,0.7069675801540392,0.02325511970863936,0.0,4916.826,257.4435233677476
104428,Martin Esteves ES,Aurora,Region III,0.7069078750970208,0.06969072780464503,0.0,5200.422,967.7910021879725
135524,Itogon Central School,Benguet,CAR,0.7068481700400024,0.06837721655024176,0.0,5134.774,1020.27213375844
110202,Manoot ES,Occidental Mindoro,Region IV-B,0.7068481700400024,0.08115409875216417,0.0,5020.824,1002.0887311131684
116834,Mayor Eugenio Torrento ES,Iloilo,Region VI,0.7068183175114933,0.09019941489044125,0.0,4992.33,1013.6831778716662
131844,San Francisco Pilot CES,Agusan del Sur,CARAGA,0.7066690548689474,0.15957669114574013,0.0,5036.864,1734.9479961958514
102064,Legaspi Elementary School,"Pangasinan II, Binalonan",Region I,0.7066392023404382,0.05627201623977551,0.0,4969.012,698.5346089178402
501582,Simaya Integrated School,Malaybalay City,Region X,0.7064899396978924,0.0059705057018329954,0.0,4949.16,98.15370802980395
109486,Dulongbayan ES,Rizal,Region IV-A,0.7062809719983283,0.019045913188847075,0.0,4954.686,239.12112287290722
100096,Hilario Valdez Mem. Elem. School,Batac City,Region I,0.7062511194698191,0.0339721774434294,0.0,4935.774,410.2577274397156
102781,Bagu Elementary School,Cagayan,Region II,0.7062212669413099,0.06252612096244559,0.0,5058.86,881.8211997905245
111954,Cuyaoyao ES,Albay,Region V,0.7061018568272732,0.061540987521643054,0.0,5030.476,721.5877891317175
107250,Balete Central School,Batangas,Region IV-A,0.7060720042987642,0.08484088602304618,0.0,4889.958,1012.8375053462426
500386,Lumayao Integrated School,"Pangasinan II, Binalonan",Region I,0.706072004298764,0.034643859334885674,0.0,5025.618,487.23484283864593
130491,G.E. Antonino MES,Sarangani,Region XII,0.7059525941847274,0.11367842856289934,0.0,5070.992,1351.4914279920536
104776,Marcelo H. del Pilar Memorial School,Bulacan,Region III,0.7059525941847274,0.15829303241984605,0.0,5423.154,1765.1499546168873
112055,Lidong ES (Sto. Domingo),Albay,Region V,0.7059227416562184,0.09490118813063464,0.0,5087.69,1202.6534072208833
122565,Ngolos-Honeywell Elementary School,Eastern Samar,Region VIII,0.7058928891277091,0.0072392381634723835,0.0,4948.996,94.13626285337655
112453,Sto. Domingo ES (Bula),Camarines Sur,Region V,0.7058630365991999,0.06336199176070212,0.0,5286.844,1036.2906501865198
120161,Minaba Elementary School,Bayawan City,NIR,0.7058331840706908,0.06460087169383244,0.0,4959.754,787.7598729841474
109422,Tadlak ES (Korokan ES),Rizal,Region IV-A,0.7057137739566541,0.049077556869066785,0.0,4952.276,575.9183933718388
115860,Alaguisoc ES,Guimaras,Region VI,0.7056540688996358,0.022717774195474383,0.0,4944.382,257.59161491787734
114543,San Juan ES (Sorsogon City),Sorsogon City,Region V,0.7055943638426174,0.04237566421875927,0.0,4957.126,530.6768452872237
132635,San Roque Central Elementary School,Bislig City,CARAGA,0.7055645113141082,0.01837423129739091,0.0,5005.058,249.08357359729686
102597,Camalaniugan Central School,Cagayan,Region II,0.7055346587855991,0.17199534300555253,0.0,5112.958,1889.7138461248571
132883,Magroyong Elementary School,Surigao del Sur,CARAGA,0.7054451012000716,0.07927338945608697,0.0,5247.934,1034.3668486779727
136677,Nangka ES,Marikina City,NCR,0.7054451012000716,0.03141978625589592,0.0,4976.82,367.2874454701658
108416,Tubuan ES,Laguna,Region IV-A,0.7054152486715625,0.03234521463967999,0.0,4958.276,370.6217368476922
101391,Laguit Centro ES,"Pangasinan I, Lingayen",Region I,0.7052958385575259,0.02994208609469229,0.0,4971.388,374.9266667709834
130908,Simbo Elementary School,South Cotabato,Region XII,0.7052958385575259,0.009448325273150648,0.0,4982.334,186.08659931333048
102215,Bolingit Elementary School,San Carlos City,Region I,0.7052361335005075,0.09727446414711327,0.0,4905.884,1067.5302068531832
106210,Sta. Rita ES,Pampanga,Region III,0.7052361335005075,0.08119887754492805,0.0,5039.126,1020.6132970542761
101090,Bail ES,La Union,Region I,0.7050271658009433,0.06104842080124184,0.0,5009.714,744.7166603507673
103826,Cabulay ES,Santiago City,Region II,0.7049973132724341,0.04900292554779395,0.0,5110.848,724.5742894251769
103522,Palattao Elementary School,Isabela,Region II,0.704967460743925,0.1719057854200251,0.0,5313.754,2029.5371387299126
110922,Balala Elementary School,Palawan,Region IV-B,0.7049077556869067,0.2633142277150874,0.0,5628.068,3116.429705187653
135690,Camp 6 ES,Benguet,CAR,0.7048779031583975,0.03894262344020549,0.0,4977.968,494.74200041637863
501439,Sinamongan IS,Capiz,Region VI,0.7048181981013792,0.11570840050152253,0.0,5135.842,1442.3774710650468
120628,Don Julian dela Viña Villegas Memorial Elementary School,Guihulngan City,NIR,0.7047286405158517,0.15903934563257505,0.0,5275.86,1867.4503539317986
106283,Santiago ES,Pampanga,Region III,0.7046987879873425,0.12427607618365277,0.0,4979.574,1418.2068200809076
